id,identifier,trip_date,vehicle_id,driver_id
1393129,HSR Layout,04/01/23,1000233,1000263
1393130,Kaggadasapura,04/01/23,1000108,1000296
1393131,Kammanahalli,04/01/23,1000108,1000296
1393132,Kammanahalli,04/01/23,1000108,1000296
1393133,Kengeri,04/01/23,1000108,1000296
1393134,Kudulu,04/01/23,1000108,1000296
1393135,Kundanahalli,04/01/23,1000279,1000431
1393136,Kundanahalli,03/31/23,1000279,1000431
1393137,Madiwala,04/01/23,1000108,1000296
1393138,Nagharbavi,04/01/23,1000108,1000296
1393139,Thippasandra,04/01/23,1000108,1000296
1393140,Varthur,04/01/23,1000108,1000296
1393146,Majestic,04/01/23,1000108,1000296
1393099,Arekere,03/31/23,1000233,1000263
1393100,Begur,03/31/23,1000233,1000263
1393101,Begur,03/30/23,1000233,1000263
1393102,BG Road To Conrade,03/31/23,1000108,1000296
1393103,Conrade To BG Road,03/31/23,1000108,1000296
1393104,GB Palya,03/31/23,1000233,1000263
1393105,GB Palya,03/30/23,1000233,1000263
1393106,Hebbal,03/31/23,1000108,1000296
1393107,Hebbal,03/31/23,1000108,1000296
1393108,HSR Layout,03/31/23,1000233,1000263
1393109,Kaggadasapura,03/31/23,1000108,1000296
1393110,Kammanahalli,03/31/23,1000108,1000296
1393111,Kammanahalli,03/31/23,1000087,1000186
1393112,Kengeri,03/31/23,1000108,1000296
1393113,Kudulu,03/31/23,1000108,1000296
1393114,Kundanahalli,03/31/23,1000279,1000431
1393115,Kundanahalli,03/30/23,1000279,1000431
1393116,Madiwala,03/31/23,1000108,1000296
1393117,Nagharbavi,03/31/23,1000108,1000296
1393118,Thippasandra,03/31/23,1000108,1000296
